Região,Estado,Quant Carros,Quant Carros Família com Filhos,População do Estado,Carros por habitante
Sul,Acre,4342,1034,23942.0,0.1813549411076769
Centro-Oeste,Alagoas,18991,3253,23431.0,0.8105074473987453
Sudeste,Amapá,6463,4152,7747.0,0.8342584226152059
Centro-Oeste,Amazonas,3180,2955,5189.0,0.6128348429369821
Centro-Oeste,Bahia,11288,2585,24118.0,0.4680321751389004
Nordeste,Ceará,10807,4943,40773.0,0.2650528536041007
Sudeste,Distrito Federal,5786,4459,6899.0,0.838672271343673
Sudeste,Espírito Santo,5494,4073,6267.0,0.8766554970480294
Sudeste,Goiás,24412,2021,36551.0,0.6678887034554458
Centro-Oeste,Maranhão,8472,4461,16394.0,0.5167744296693912
Sul,Mato Grosso,4868,3613,8556.0,0.5689574567554933
Sudeste,Mato Grosso do Sul,5683,2129,8890.0,0.6392575928008999
Centro-Oeste,Minas Gerais,17291,4843,46606.0,0.3710037334248809
Nordeste,Pará,22387,4893,35740.0,0.6263850027979855
Sul,Paraíba,10666,2500,19502.0,0.5469182647933545
Nordeste,Paraná,6036,1702,26777.0,0.2254173357732382
Sul,Pernambuco,10533,3449,15627.0,0.6740257247072374
Centro-Oeste,Piauí,7912,3777,13792.0,0.5736658932714617
Norte,Rio de Janeiro,33848,2579,48323.0,0.7004532003393829
Sul,Rio Grande do Norte,6396,1161,48021.0,0.1331917286187293
Nordeste,Rio Grande do Sul,2241,1201,13433.0,0.1668279609915879
Centro-Oeste,Rondônia,23113,2981,48001.0,0.4815108018582946
Sul,Roraima,3561,1995,16016.0,0.2223401598401598
Norte,Santa Catarina,9466,3317,28897.0,0.3275772571547219
Norte,São Paulo,6317,4934,7612.0,0.8298738833420914
Sudeste,Sergipe,22307,1815,28483.0,0.7831689077695467
Sudeste,Tocantins,17144,4342,22159.0,0.77368112279435
